#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Karl-Anthony Towns,MIN,21.00,33.80,20.80,7.30,14.40,0.51,1.80,5.60,0.33,4.40,5.00,0.89,1.70,6.50,8.20,5.30,0.80,0.70,3.10,3.90
2,Kelly Olynyk,UTA,48.00,28.20,12.10,4.10,8.20,0.50,1.50,3.60,0.41,2.50,3.00,0.85,1.30,4.10,5.30,3.30,1.00,0.60,2.20,3.80
3,Domantas Sabonis,SAC,55.00,34.60,18.80,7.10,11.60,0.61,0.40,1.20,0.35,4.20,5.50,0.76,3.00,9.30,12.30,6.90,0.80,0.50,2.90,3.70
4,Jusuf Nurkic,POR,45.00,27.30,13.80,5.20,9.80,0.52,0.90,2.20,0.39,2.60,3.80,0.69,2.30,7.20,9.40,2.90,0.90,0.90,2.40,3.60
5,Jaden McDaniels,MIN,58.00,30.50,11.40,4.40,8.60,0.52,1.20,3.20,0.39,1.30,1.70,0.74,1.30,2.60,3.90,2.00,0.90,1.00,1.40,3.50
6,LaMelo Ball,CHA,33.00,35.40,23.30,8.30,20.30,0.41,3.90,10.60,0.37,2.90,3.40,0.86,1.20,5.10,6.30,8.40,1.30,0.30,3.50,3.40
7,Alperen Sengun,HOU,53.00,28.30,15.10,5.90,10.50,0.56,0.20,0.70,0.32,3.10,4.10,0.75,3.20,5.60,8.80,3.70,0.80,1.00,2.50,3.40
8,Aaron Nesmith,IND,53.00,24.50,9.80,3.40,8.00,0.42,1.50,4.30,0.36,1.60,1.80,0.87,0.80,2.90,3.80,1.20,0.80,0.40,0.90,3.40
9,Pascal Siakam,TOR,49.00,37.70,25.20,9.10,18.80,0.48,1.40,4.10,0.34,5.70,7.50,0.77,1.90,5.90,7.80,6.10,0.80,0.60,2.60,3.40
10,Dillon Brooks,MEM,52.00,30.50,14.80,5.60,14.30,0.39,1.80,5.80,0.31,1.80,2.30,0.79,0.60,2.70,3.30,2.60,0.80,0.20,1.50,3.40
11,Giannis Antetokounmpo,MIL,47.00,33.10,31.80,11.30,21.00,0.54,0.80,3.00,0.27,8.40,13.00,0.65,2.30,9.90,12.20,5.40,0.80,0.80,4.00,3.40
12,"Jaren Jackson, Jr,",MEM,40.00,27.20,16.90,6.10,12.10,0.50,1.60,4.40,0.36,3.30,4.20,0.78,1.70,5.00,6.70,0.90,1.10,3.30,1.60,3.40
13,Ben Simmons,BRK,42.00,26.30,6.90,3.20,5.60,0.57,0.00,0.00,0.00,0.60,1.40,0.44,1.00,5.30,6.30,6.10,1.30,0.60,2.30,3.30
14,Myles Turner,IND,50.00,29.80,17.50,6.20,11.70,0.54,1.60,4.10,0.38,3.50,4.50,0.79,1.60,6.40,8.00,1.30,0.60,2.30,1.60,3.30
15,John Collins,ATL,50.00,31.10,13.20,5.20,10.20,0.51,0.80,3.20,0.25,2.10,2.60,0.81,1.10,6.00,7.10,1.20,0.70,1.20,1.20,3.30
16,Luguentz Dort,OKC,50.00,29.90,14.00,4.80,11.60,0.41,1.90,5.30,0.36,2.60,3.40,0.76,1.40,2.80,4.10,2.20,1.00,0.30,1.30,3.30
17,Herb Jones,NOP,43.00,28.80,9.70,3.40,7.70,0.44,0.70,2.60,0.28,2.10,2.80,0.75,1.40,2.40,3.80,2.20,1.70,0.70,1.30,3.30
18,Jae'sean Tate,HOU,20.00,21.00,7.70,3.10,6.80,0.45,0.40,1.30,0.31,1.20,1.90,0.65,1.60,2.30,3.90,2.60,0.60,0.20,1.70,3.30
19,Onyeka Okongwu,ATL,57.00,23.90,9.30,3.90,6.20,0.63,0.00,0.10,0.20,1.50,2.00,0.74,2.70,4.60,7.30,1.00,0.70,1.30,1.00,3.20
20,Joel Embiid,PHI,45.00,34.90,33.10,11.00,20.50,0.54,1.10,3.10,0.36,9.90,11.60,0.86,1.80,8.40,10.20,4.10,1.20,1.50,3.50,3.20
21,Zach Collins,SAS,48.00,21.20,10.00,3.90,7.20,0.54,0.60,1.70,0.36,1.60,2.20,0.74,1.80,4.10,5.90,2.60,0.40,0.60,1.90,3.20
22,Jaden Ivey,DET,55.00,30.10,15.20,5.20,12.30,0.42,1.40,4.20,0.33,3.50,4.80,0.73,1.00,2.90,3.90,4.60,0.90,0.20,2.80,3.10
23,Royce O'Neale,BRK,55.00,33.40,9.20,3.20,8.00,0.40,2.20,5.60,0.40,0.60,0.80,0.73,0.70,4.10,4.70,3.90,0.80,0.70,1.60,3.10
24,Kristaps Porzingis,WAS,50.00,32.50,22.80,7.40,15.30,0.49,2.00,5.40,0.37,5.90,7.00,0.84,1.90,6.70,8.60,2.50,0.90,1.50,2.20,3.10
